orbital_period,transit_duration,planet_radius,star_temp,star_radius,label
1.028436523,1.8606,72.77,6228.0,0.99,0
15.37562369,3.3169,11.01,4986.0,0.833,1
8.10363271,3.161,2.11,4861.0,0.732,1
4.71510843,2.506,1.46,4861.0,0.732,1
6.365839713,2.9721,2.44,5776.0,0.849,1
5.97581754,3.065,3.86,6108.0,0.997,-1
2.446737317,4.7211,26.25,5764.0,0.863,-1
3.04033046,1.8411,8.99,5035.0,0.791,1
15.33528675,3.897,5.0,5251.0,0.817,1
7.95825328,4.377,1.06,5847.0,1.402,1
31.33046135,5.176,6.5,5251.0,0.817,1
3.9043425,3.831,12.28,5810.0,0.898,-1
9.286358079,3.49949,17.61,5670.0,0.821,-1
3.951405455,2.1862,31.44,6046.0,0.869,-1
23.65369415,8.2183,7.89,5739.0,1.384,1
13.23352214,6.7372,3.06,5739.0,1.384,1
6.15560285,4.9843,2.32,5739.0,1.384,1
2.090811305,3.388,1.62,5739.0,1.384,1
3.180027898,3.5797,1.53,5847.0,1.402,1
50.4467417,7.159,2.67,5739.0,1.384,1
11.76307164,2.9076,2.35,4959.0,0.756,1
56.2279271,3.57,2.37,4959.0,0.756,1
2.384052875,3.0918,17.06,4794.0,0.701,-1
7.953547,2.6312,2.25,4768.0,0.779,1
4.14451656,2.3421,1.48,4768.0,0.779,1
4.859386384,2.2757,38.33,6072.0,0.988,-1
10.526294577,2.5211,8.24,5386.0,0.793,1
4.583520948,2.7055,5.39,5815.0,0.877,1
3.76181843,3.5176,2.66,5653.0,0.949,1
8.20396958,2.9667,3.01,5015.0,0.826,1
14.49645186,4.016,3.01,5015.0,0.826,1
6.54626149,2.75,2.19,5251.0,0.817,0
12.71809866,3.0957,2.31,4702.0,0.686,1
36.06588163,4.3246,2.64,4702.0,0.686,1
4.190425659,2.8589,6.21,6073.0,1.135,1
3.709870784,3.0694,4.35,5727.0,0.978,1
16.3297527,6.271,3.75,5878.0,0.987,1
27.807566216,4.21587,13.84,5862.0,0.785,1
80.8723469,11.195,7.59,5510.0,1.238,1
3.166465862,2.9381,26.82,4968.0,0.704,-1
24.99324319,5.9409,2.29,5718.0,1.317,1
10.35533116,3.1775,2.47,5501.0,0.918,1
16.08518937,3.984,3.68,5239.0,0.826,1
235.9986399,8.2284,10.59,4245.0,0.657,0
7.49018305,2.7297,2.56,5103.0,0.787,1
36.2761238,4.7865,3.03,5103.0,0.787,1
17.46087931,2.2641,2.32,5103.0,0.787,1
56.0560754,4.685,1.94,3593.0,0.491,1
41.408316686,5.0264,11.38,5522.0,0.747,1
39.74893077,7.3051,14.21,6122.0,0.964,0
5.715425977,2.5242,2.47,5237.0,0.826,1
49.18394185,11.3364,8.2,5626.0,2.057,1
20.0261412,1.611,2.28,5237.0,0.826,1
13.61014819,2.594,19.02,5697.0,0.903,-1
10.44331991,2.743,2.66,4947.0,0.802,-1
2.237489571,1.8119,1.41,5265.0,0.81,1
5.851520671,3.11058,14.62,5532.0,0.806,-1
3.167893418,2.1814,2.62,5895.0,0.94,1
4.311780262,2.7251,3.11,5527.0,0.927,1
20.0504494,4.556,2.69,5527.0,0.927,1
9.76734503,1.6585,2.67,5527.0,0.927,1
119.0207044,8.1405,8.98,5453.0,1.062,0
190.3200468,15.284,7.78,5626.0,2.057,1
2.861159894,1.8832,4.37,6126.0,1.021,-1
26.44439337,3.9783,3.91,5427.0,0.929,1
51.53997972,6.3994,5.51,5427.0,0.929,1
5.902245782,2.9003,2.43,5427.0,0.929,1
2.382951591,1.8876,1.86,5427.0,0.929,1
21.02250608,4.1072,3.07,5067.0,0.75,1
3.219814777,2.0642,1.69,5103.0,0.787,1
5.912273234,2.3254,1.73,4072.0,0.57,1
8.98581901,2.8606,1.65,4072.0,0.57,1
12.940668656,2.4845,22.94,5875.0,0.809,-1
20.5452375,2.517,2.41,5670.0,1.264,0
33.60123371,4.4056,8.46,5149.0,0.93,1
6.76652928,2.9004,1.97,5149.0,0.93,1
4.347288783,2.1024,2.36,5754.0,1.122,1
4.601811819,2.2607,2.35,4986.0,0.833,1
11.18719905,3.252,1.55,4986.0,0.833,1
4.220965778,3.0854,2.62,3837.0,0.517,0
6.998099523,2.0488,588.66,5612.0,0.829,-1
5.95489993,2.3892,2.33,4261.0,0.633,1
12.03987488,2.7363,2.18,4261.0,0.633,1
20.83762895,2.3734,1.42,4261.0,0.633,1
8.8111022,5.0683,63.66,6200.0,2.404,-1
23.58917143,5.073,3.16,4919.0,0.721,1
6.481633073,3.784,2.54,5945.0,1.302,1
10.37168928,3.035,3.2,5121.0,0.888,1
3.96996298,1.1757,1.78,5121.0,0.888,0
4.40841331,5.012,2.66,6007.0,0.961,1
7.9426176,6.703,4.68,5811.0,0.926,-1
226.8904775,7.558,4.53,5067.0,0.75,1
1.956811408,2.1958,21.58,5209.0,0.603,-1
2.688899233,2.11275,12.04,4820.0,0.639,0
9.439459486,2.8979,4.16,5097.0,0.779,1
11.523067458,3.8757,3.13,5644.0,1.411,1
20.47748843,2.8364,2.92,5097.0,0.779,1
3.336123113,1.9616,1.74,5097.0,0.779,1
8.01078456,2.312,1.72,3713.0,0.47,1
12.07134205,4.3224,1.29,3713.0,0.47,1
20.99587872,2.6333,1.3,3713.0,0.47,1
7.41113177,2.5242,2.45,5849.0,0.919,1
1.000747038,0.9967,4.14,5472.0,0.79,-1
8.884922995,2.07004,10.51,5332.0,0.843,1
8.09888906,4.20241,8.95,6214.0,1.076,1
10.00653012,5.344,3.52,6063.0,1.001,1
17.855221681,7.41287,13.16,6823.0,1.367,1
12.732624065,2.2083,4.87,3950.0,0.541,0
83.92494032,6.7904,4.78,3960.0,0.509,0
5.007316661,4.2362,6.96,5865.0,0.827,1
2.211116989,1.6485,1.85,4500.0,0.646,1
27.9541337,3.95,1.9,4500.0,0.646,1
12.69104387,3.7727,2.57,5869.0,1.626,1
4.409409243,3.8636,10.95,5600.0,0.975,-1
16.23947096,4.0374,4.14,5191.0,0.837,1
6.308201629,2.9785,2.96,5191.0,0.837,1
2.052349884,2.0778,13.12,5855.0,1.08,1
9.7704486,2.4517,2.23,3906.0,0.509,1
5.169804269,2.153,1.66,3906.0,0.509,1
21.22261195,6.5093,2.48,5945.0,1.302,1
20.09017037,4.154,2.25,3906.0,0.509,1
7.11373257,2.1764,1.16,3561.0,0.411,1
3.306551643,1.8177,0.91,3561.0,0.411,1
15.36845737,2.4714,1.11,3561.0,0.411,1
13.81020318,3.048,4.56,5942.0,1.142,0
4.093578461,2.5833,2.85,6077.0,0.999,1
105.145959,8.593,3.43,6077.0,0.999,1
10.8484518,2.9993,2.34,4201.0,0.591,1
6.66833241,1.915,1.18,4201.0,0.591,1
4.082274889,3.23015,10.55,5655.0,0.794,1
3.886655224,3.1646,1.87,5662.0,0.738,0
42.1406089,5.083,1.85,4500.0,0.646,1
4.617490562,2.2618,1.62,4500.0,0.646,1
10.19849255,2.4283,1.75,4500.0,0.646,1
5.795063956,3.2496,4.33,5865.0,0.827,-1
7.15681552,2.5882,2.47,5029.0,0.838,1
17.64830851,2.0873,2.43,5029.0,0.838,1
4.14810719,2.535,1.08,5029.0,0.838,1
16.51410989,4.1575,2.72,5527.0,0.866,1
30.1329298,5.172,3.14,5527.0,0.866,1
4.79090809,2.603,1.36,5527.0,0.866,1
31.71981013,4.819,3.09,5869.0,1.626,1
99.6415962,4.448,2.64,5527.0,0.866,1
4.708326451,3.16114,10.6,5560.0,1.21,1
16.37198661,3.8449,540.37,4187.0,0.592,-1
5.392026903,2.9804,2.68,5198.0,0.801,1
2.494170338,1.1221,2.42,5569.0,0.829,0
6.491682808,4.301,9.66,6123.0,1.107,1
3.044770796,10.0134,24.54,5525.0,0.753,-1
3.855603916,3.2179,13.61,6033.0,1.046,1
3.855599139,3.183,3.57,5936.0,0.965,-1
38.47876629,5.04169,13.26,5510.0,0.879,1
37.601661282,8.30604,27.22,6140.0,1.096,-1
3.314947362,1.8007,3.94,5609.0,0.944,1
6.71969089,3.0231,4.37,5931.0,0.866,-1
39.6431552,6.5292,10.98,5231.0,0.9,1
51.42598578,16.9422,29.66,6257.0,1.147,-1
21.80451611,3.4097,2.6,5481.0,0.708,1
10.28194593,3.4366,2.53,5196.0,0.775,1
18.11993039,4.2309,2.95,5196.0,0.775,1
3.78402867,1.9012,1.7,5196.0,0.775,1
5.15448142,3.228,2.94,5431.0,0.884,1
33.80364366,11.4813,20.7,5855.0,1.796,-1
5.743469797,3.4412,3.13,5897.0,0.891,1
39.4759093,2.968,4.06,6225.0,1.031,0
19.974485239,4.23479,26.56,6108.0,0.997,-1
3.166353562,3.3129,3.82,6007.0,0.998,1
23.899634407,3.81881,44.04,6192.0,0.924,-1
3.388012244,2.6849,2.11,5553.0,1.25,1
5.83909761,3.1915,2.06,5553.0,1.25,1
1.620467654,2.1888,1.57,5553.0,1.25,1
10.6816951,3.605,2.3,5553.0,1.25,1
6.104849417,4.6912,3.18,5085.0,0.712,1
3.578780566,2.91089,10.43,5524.0,0.994,1
3.187067566,3.119,23.88,5450.0,0.811,-1
5.826657508,2.9183,4.09,5561.0,1.06,1
12.41216347,3.739,2.58,5561.0,1.06,1
18.74649011,3.895,3.05,5561.0,1.06,1
20.86021229,5.1937,5.5,6035.0,1.257,1
42.63427848,6.1998,5.22,6035.0,1.257,1
87.6476068,8.871,4.0,6035.0,1.257,1
9.61731426,3.8692,1.94,6035.0,1.257,0
9.467821474,2.4327,2.13,3582.0,0.458,1
0.893040969,1.0981,1.24,3582.0,0.458,1
4.942783419,3.25346,10.62,5514.0,0.978,1
20.83426731,4.0454,2.74,5537.0,0.88,1
9.94602357,3.3862,3.12,5344.0,1.013,1
1.04562195,1.8955,1.45,5344.0,1.013,1
5.71462396,2.336,1.78,5344.0,1.013,1
102.9641952,15.735,39.0,5047.0,7.119,0
8.14515981,5.073,3.43,5896.0,1.24,1
18.9985279,4.529,43.17,5896.0,1.24,1
4.24439049,3.282,2.07,5896.0,1.24,1
90.1240507,11.649,7.12,6520.0,1.215,0
28.5742692,4.9427,2.32,5551.0,0.812,1
856.672115,23.144,3.87,6449.0,1.309,0
0.689210173,1.6169,1.32,5630.0,0.954,0
7.34373964,1.1784,1.84,5757.0,0.762,0
0.445277068,3.539,35.74,6167.0,1.064,-1
0.379463865,0.86896,59.56,5075.0,1.783,-1
9.88047978,2.78458,23.6,6113.0,0.917,-1
4.6484156,38.1939,5.06,6980.0,3.482,-1
17.512014768,1.8248,13.66,6224.0,1.132,-1
3.9886021,1.7376,34.39,4813.0,13.652,-1
0.533059312,1.8621,133.56,8523.0,4.051,0
0.525154153,2.1441,23.61,5582.0,0.846,-1
1.303861044,4.0541,27.85,5758.0,0.902,-1
2.55549176,9.083,23.35,5948.0,0.901,-1
2.947376671,2.0911,403.59,8090.0,2.234,-1
224.7789355,11.1899,7.67,5873.0,1.235,1
0.890110752,0.8774,1.25,4768.0,0.711,-1
5.76573396,2.924,7.47,5772.0,4.434,-1
7.42608123,3.6379,2.47,6049.0,1.176,1
15.9868932,4.158,1.62,6049.0,1.176,1
0.73094589,4.32,17.12,5901.0,0.848,-1
18.92537246,3.9835,13.92,4941.0,4.885,1
0.933749106,4.256,3.22,6215.0,2.188,-1
2.037440623,3.442,1.19,6253.0,1.015,-1
129995.7784,9.408,2.99,4500.0,0.726,0
31.5925809,13.566,1.78,5676.0,1.487,1
1.97376085,1.82542,8.78,3807.0,0.503,1
13.118962443,4.3045,8.25,7221.0,4.24,0
4.618767792,5.9957,7.48,6013.0,1.033,-1
7.82187328,3.8417,2.78,7221.0,4.24,-1
53.5057611,10.5616,2.52,6247.0,1.762,0
2.785821236,3.5599,1.69,6202.0,1.733,1
52.56901867,6.7507,78.54,7240.0,1.717,-1
3.411758679,3.158,14.71,3995.0,0.561,-1
0.525426427,1.0801,1.45,5791.0,0.802,-1
1.269091415,1.4647,1.41,5041.0,0.766,1
6.79685353,3.1702,2.01,6061.0,0.97,0
8.667822346,4.9658,67.37,6266.0,1.889,-1
1.475323222,2.3155,5.88,4941.0,4.885,1
4.15246118,2.5755,7.62,4941.0,4.885,1
8.7348852,4.49,1.59,5982.0,0.96,1
10.26547688,3.733,1.81,5699.0,0.853,-1
13.4471791,3.0454,5.24,6276.0,1.041,0
3.305577989,2.5903,25.89,5534.0,0.707,-1
4.800653901,9.0419,16.91,6715.0,1.241,-1
15.06649901,5.9885,56.44,5751.0,1.626,-1
34.82008158,11.1711,11.36,5114.0,0.784,-1
0.651784374,2.0141,33.65,5555.0,1.061,-1
1.353771892,7.012,430.99,4283.0,15.76,0
18.95491633,24.249,71.39,6362.0,2.534,-1
4.348866254,3.2797,2436.69,3598.0,101.451,-1
47.93094546,2.6897,68.02,8214.0,1.938,-1
3.99751422,3.686,2.98,5066.0,5.324,-1
1.592633181,5.5605,1.56,4506.0,0.651,-1
67.5923754,12.249,12.1,6038.0,1.744,-1
17.02902786,4.645,2.54,5839.0,1.067,1
6.84619236,3.529,1.67,5839.0,1.067,1
67.8321638,7.358,2.39,5839.0,1.067,1
43.1312147,3.198,2.39,5839.0,1.067,1
1.224866441,1.7086,1.54,5553.0,1.107,1
37.8102649,8.733,2.33,6085.0,0.973,0
25.93406406,4.6142,2.48,5952.0,1.225,1
83.4463485,6.536,2.73,5952.0,1.225,1
7.04710032,2.926,25.2,5766.0,1.068,-1
12.99204853,6.0175,2.03,5765.0,1.242,1
